silhouette,cluster
0.07099641269440224,4
0.17054310996663663,2
0.3995997985562619,2
0.12247122194541252,4
0.19131366252729778,2
0.1584454961298434,4
0.026850388443711546,4
0.4077211773792793,2
0.08505317396566989,0
0.10373625680371214,2
0.11045632637446336,4
0.32081954860675505,0
-0.04291504657163347,4
-0.0004445001764624353,4
0.2907970505232591,0
0.02863916439974528,2
0.08318515077261188,2
0.3096406113553132,2
0.2805234936120874,2
0.4255486782297555,2
0.2092362663090849,0
0.3209783213076467,2
0.31855127933087934,2
-0.03235431524580859,4
-0.055840797008046866,4
0.17729377523546816,4
0.18909280815323168,4
0.020640796331282792,4
0.10380331761400104,2
0.11933147671152732,4
0.3480465189805648,2
-0.07238403037713666,4
0.21796155694620636,2
0.22961304445320652,2
0.3103198258026166,0
0.12489566208775262,4
0.010257194458705798,4
0.2986524036532369,0
0.027176208095641394,4
0.02456212080024012,4
-0.011796413308204795,4
0.11036056527949095,4
0.40805789325592673,0
0.2832073027999285,0
0.21267853257241462,2
-0.07247411516733732,4
0.3178797134822154,2
0.0657088451818244,0
-0.006027893427523497,4
0.25637934133071966,2
-0.028778864881123377,4
0.13067563579130662,2
0.368583157757506,2
0.10884299311761558,4
0.2806194941403623,2
0.2262699517403732,2
0.12254520493149318,2
0.04120429260252201,4
-0.006121114597430354,4
0.33124071032494773,2
0.03954240088027622,4
0.31341398343547483,0
0.40513174142126385,0
0.16632910622590208,0
0.05051743482727205,4
0.43026393217756687,2
0.18758048494589435,2
0.2926102297455947,0
0.0191895687779947,2
-0.04287841873080796,4
0.38300976103306356,2
0.20817931849044893,0
0.25477469568303945,2
0.048158270764122914,4
0.31250986394771474,2
0.14564581340170715,2
0.05643414089028497,4
0.21693022916067234,4
0.3355575158681543,2
0.09110206853072735,0
0.3566061126779024,2
0.0951815873819535,2
0.3787230922424481,0
0.3649293147888935,0
-0.03345773049416478,4
0.2138475829247555,2
0.24203606006902417,2
0.18038444263378348,2
0.29388235279099334,0
0.23873862471679444,4
0.10609631384823807,4
0.340315972524434,2
0.41065133778113755,2
0.3559847179877434,2
0.4043122816119515,2
0.314434674614021,2
0.20370812806252042,2
0.0623651220470205,0
0.19809909665984907,2
0.03762321658951278,4
0.20731433318592463,4
0.084408125484115,0
0.29587018024253553,0
0.13303203792313611,0
0.3533514507970183,2
0.011857637297635467,4
0.22904351757242256,2
0.370966050942872,2
0.364223644323451,0
0.23017162069277491,0
0.15855430472012552,2
0.15181829605515174,2
0.03192120694588673,2
0.2600983557950886,2
0.1857329542270823,2
-0.054526076164446886,4
0.20920587635044607,0
0.2862006037421294,4
0.08316159661062704,4
0.16555916029971035,1
-0.0739450429169802,4
0.268183778909472,2
0.23875262752427195,4
0.24502920839269005,0
0.04304525133723911,4
-0.06557329456629672,4
0.2206654024777802,2
0.057886240385547766,2
0.24231527318936957,3
0.16882544654438297,0
0.41706759671784027,2
0.2390828051142547,2
0.38995079712839076,2
0.3777494103303186,2
0.3829620079097117,2
0.13188950839809024,2
0.1998028668494882,4
0.39166376954770965,2
0.10268594977783982,0
-0.07689170570261847,4
0.16106860099378922,2
0.03217149877665853,4
0.2854781776483984,0
0.13758731435424912,0
-0.06916193440555929,4
0.0998762477715237,2
0.31667757004518443,2
0.3899288832443704,2
-0.054369351352077856,4
0.3267176875896377,2
0.011318315191309748,4
0.030111389436876787,4
0.19946893723149547,2
0.42095086870149967,0
-0.06279875496944945,4
-0.01939754154099223,4
0.29954138385521045,2
-0.08704695404011742,4
0.269971883643669,2
0.13994790841649912,4
-0.010651719566115225,4
-0.040377442866276474,4
0.1401682180050373,4
0.0997459959459641,4
0.12220772515731612,2
0.3849930541917314,0
0.4123510329754198,2
0.3315665158229512,2
-0.0065899603220421306,4
0.3547622167905756,2
0.10800180305700811,2
0.18765690235199092,2
0.4093837651208351,2
0.17049729806979388,2
0.39178866877410795,3
0.22361181271078776,0
-0.024342962838166993,4
0.30430979915090267,2
0.41789689038927413,0
0.3513575653767188,2
-0.010447723502064818,4
0.28003543684244464,0
-0.046047921767774926,4
0.12314942158986929,2
0.27639611765076205,0
0.16153162095574863,2
0.08776990888531411,0
0.21415332469084813,2
0.3716260838612791,2
0.2359280352302685,4
0.04123943817851522,4
0.06491533775307905,1
0.16678244588447075,2
0.14886673718876342,2
0.16794992871046718,4
0.12113248513547348,2
-0.004047213764742587,4
0.26204472482842434,0
-0.025195016412871016,4
0.359021931053712,2
0.4179047105043273,2
0.24628349473234953,2
0.17385407213351478,2
0.27116417038086277,0
0.22695886480396968,2
0.23635468065227105,2
0.15223699456975548,2
0.42162868744509163,2
0.2005731006862864,2
0.2202235695408647,2
0.27558679869860875,3
0.0773759719470904,4
0.42847746638628464,2
0.1866698433749043,4
0.34921792187337114,0
-0.05509703461094142,4
0.046260729386493706,4
0.29230955674358056,2
0.3110900760694497,2
0.23512545978321311,2
0.3502600973543702,2
0.3079147923109086,2
0.309227145585832,2
0.13583900353075262,2
0.4109723021895096,2
0.1823160132154624,0
0.19814444537058798,0
0.3963689182045748,2
0.16580673990551129,0
0.11846900606577727,2
0.2384193279484169,2
0.0754822120532282,4
0.0870593291422885,0
0.34873622839414875,2
0.36538848073175517,0
0.24017415444992513,2
0.11303385797788564,0
0.2677667172642227,2
0.12014703341301419,2
0.14039363918688313,2
0.045806110127140795,4
0.18752666533612075,2
0.2812238706941777,2
0.10060405887919603,4
0.2642286092284424,2
0.027155676274639086,4
0.1059918610148092,2
0.2021688125978528,2
0.24528374900395633,2
0.3660894157402455,2
0.318536092381081,2
0.3079137520631673,2
-0.016006063136925968,4
0.05601883582471365,4
0.09993561068126945,2
-0.02532005609696803,4
0.14092296314975847,4
0.2992478825416734,0
0.09384068894316093,0
0.11657816857821422,2
0.425705653749065,2
0.28583750330790675,2
0.22035615762549257,2
0.05121543184563062,4
0.2927036554252568,2
0.16358957520609357,4
0.17616382003519052,2
0.2501659403357517,2
0.18546757050765506,2
0.24668246006448089,2
0.35840749628064694,2
-0.060219273553224366,4
0.35254986851480224,0
0.04986992448146605,4
0.2194685239383197,2
0.12293851933150464,2
-0.00801265660665333,4
0.07564672479406925,4
0.19825957142453912,4
0.13182886505406605,4
0.2483420800229978,2
0.4110779835633387,2
0.07097587075558273,2
0.05235734249789782,4
0.24178961653325176,4
0.31821713412588987,2
0.10208099732891392,4
0.3928561960571969,2
0.20814521099843036,2
0.1391178132837132,2
