cluster,cluster_mean,others_mean,cluster_median,others_median,u_stat,p_value,p_adj,significant
0,35.9686039129682,35.220817201442316,37.0,35.0,538309210.0,6.78408740230343e-11,6.78408740230343e-11,True
1,27.464379119154724,36.5026711209878,22.0,37.0,232499211.5,0.0,0.0,True
2,37.336574112218834,34.49945523537589,37.0,34.0,699840909.0,2.900203439676969e-77,4.8336723994616155e-77,True
3,30.675766283524904,35.802299140980296,28.0,36.0,191923993.5,1.6391946747660274e-75,2.048993343457534e-75,True
4,37.7729038040231,34.553862496517134,38.0,35.0,629456089.0,1.9926889664120083e-83,4.981722416030021e-83,True
