pc1,pc2,cluster,popularity
0.20526072553277538,-0.6231342347535115,4,100
1.6473327779012814,0.25543012384221536,2,99
2.067641522045902,-0.2609716057885924,2,98
1.6914114497191477,0.35203520128821353,4,98
1.7987669674383335,0.139151920578634,2,97
0.7352789017256044,-0.36995883021143405,4,97
1.0613110411435271,-0.05244698055019775,4,96
2.529938532871442,0.46307476283942406,2,96
-0.0020377253695742256,-0.7192929351727692,0,96
1.431747596310633,-0.22108228000164254,2,95
0.6834475997434134,-0.5365232334012298,4,95
-1.526367054939327,-1.8296231193258832,0,94
0.9086487467061082,-0.2934401628993174,4,94
1.484928977226473,0.2282473343217867,4,93
-1.1719726926117382,-1.411075809594744,0,93
0.5113015157283507,-0.8771317525030755,2,93
0.8535451160182762,-0.371641510643185,2,93
1.9325370671662543,0.0799563438773584,2,93
1.4175539474100347,-0.5833358180030052,2,92
2.4892998394655703,0.18980687598433743,2,92
-0.6936525718667492,-1.2178488848963693,0,92
4.283003174614796,0.9838237090768305,2,92
2.4666839940919405,0.38710530408173166,2,91
1.7231332744448997,-0.10245571603833634,4,91
1.624103408267409,-0.3261697693756061,4,91
0.9441821468295111,-0.14270911996699567,4,91
0.8709382891572398,0.031975290222821695,4,91
1.532270743894873,-0.3253683260144621,4,90
2.2032955675355193,0.270062879741412,2,90
0.9366771490255168,-0.0837693037623552,4,90
2.0692187894193275,0.2980090926432793,2,90
1.6034584542761785,-0.21636535125055162,4,90
2.1087514421536024,0.3062584147839976,2,90
1.922302760585531,-0.06633813531840646,2,90
-0.9827522939029665,-1.2927868301873342,0,90
-0.22268871777541374,-0.6784006143309556,4,90
-0.5424188754855369,-0.742024892424292,4,90
-0.7709839729645062,-1.460292860152933,0,90
1.7105001974598377,0.17915531629135586,4,90
1.1631156012013273,-0.26652725168702673,4,90
1.23797953537531,-0.07934512513768716,4,90
-0.3438113490649488,-0.4069869353300809,4,90
-2.293149613081926,-2.2280418544543883,0,89
-2.060167214369161,-1.796936112962609,0,89
1.6546119808564073,-0.03000219175414554,2,89
0.2183534825278546,-1.0479388670977958,4,89
2.7140735972498344,0.6389748040529941,2,89
0.29105157237568097,-0.9926257868743541,0,89
1.5014054870287339,0.2415154648974887,4,89
1.6116000288382804,-0.4920219718033026,2,89
0.058186075024990215,-0.9151393199873019,4,89
1.5324992631447183,-0.16182279510971478,2,89
2.391177805698808,0.1952354026076623,2,89
-0.13061728288188737,-0.7504552112616296,4,89
2.0599772518440695,0.28567163836528203,2,89
2.2890827480347022,0.22554534596687573,2,89
1.6036533451810246,0.03908826989701011,2,89
0.16326311597980814,-1.0765597221276995,4,89
1.5003214588995888,-0.09264469043164662,4,88
3.192160261408733,0.7619040423335465,2,88
-0.015355543339785156,-0.5511468619520883,4,88
-1.1592633773522754,-1.4900849759193902,0,88
-2.1339851269854178,-2.3381506334367894,0,88
0.03552188667351589,-1.1743630907060787,0,88
0.4571304745177994,-0.6035699254061856,4,88
2.891636213264827,0.4044078208095263,2,88
1.8286298338123446,0.23083164881302648,2,88
